編號,縣市,醫院名稱,科別,電話,地址
1,基隆市,衛生福利部基隆醫院,家庭醫學科,"(02)2429-2525
轉5610、5619","20148
基隆市信義區信二路268號"
2,臺北市,馬偕紀念醫院臺北院區,家庭醫學科,"(02)2543-3535
轉2266","10449
臺北市中山區中山北路二段92號"
3,臺北市,臺大醫院,"家庭醫學科第10診 (02)2312-3456
(旅遊醫學特別門診) 轉67614",,"10048
臺北市中正區常德街1號"
4,臺北市,三軍總醫院內湖院區,旅遊醫學門診,(02)8792-3311,11490臺北市內湖區成功路二段325號
5,臺北市,臺北市立萬芳醫院,家庭醫學科,(02)2930-7930,11696臺北市文山區興隆路三段111號
6,臺北市,臺北醫學大學附設醫院,家庭醫學科,(02)2737-2181,11031臺北市信義區吳興街252號
7,新北市,亞東紀念醫院,家庭醫學科,(02)8966-7000,22060新北市板橋區南雅南路二段21號
8,新北市,臺北慈濟醫院,家庭醫學科,(02)6628-9779,23142新北市新店區建國路289號
9,宜蘭縣,羅東聖母醫院,家庭醫學科,(03)954-4106,26546宜蘭縣羅東鎮中正南路160號
10,桃園市,衛生福利部桃園醫院,"家庭醫學科、
感染科、小兒科","(03)369-9721
轉8322","33004
桃園市桃園區中山路1492號"
11,新竹市,臺大分院新竹醫院,家庭醫學科,"(03)532-6151
轉3753","30059
新竹市北區經國路一段442巷25號"
12,新竹縣,東元綜合醫院,"家庭醫學科、感染
科",(03)552-7000,"30268
新竹縣竹北市縣政二路69號"
13,苗栗縣,衛生福利部苗栗醫院,家庭醫學科,(037)261-920,36054苗栗縣苗栗市為公路747號
14,臺中市,衛生福利部臺中醫院,家庭醫學科,(04)2229-4411,40343臺中市西區三民路一段199號
15,臺中市,童綜合醫院梧棲院區,家庭醫學科,"(04)2658-1919
轉4000","43503
臺中市梧棲區臺灣大道八段699號"
16,彰化縣,彰化基督教醫院,家庭醫學科,(04)723-8595,50006彰化市南校街135號
17,南投縣,埔里基督醫院,感染科,(049)291-2151,南投縣埔里鎮鐵山路1號
18,南投縣,衛生福利部南投醫院,"家庭醫學科、感染
科",(049)223-1150,"54062
南投縣南投市復興路478號"
19,雲林縣,臺大醫院雲林分院,家庭醫學科,(05)532-3911,64041雲林縣斗六市雲林路二段579號
20,嘉義市,天主教聖馬爾定醫院,健康檢查中心,(05)275-6000,60069嘉義市東區大雅路二段565號
21,嘉義縣,嘉義長庚紀念醫院,家庭醫學科,(05)362-1000,61363嘉義縣朴子市嘉朴路西段6號
22,臺南市,成大醫院,家庭醫學科,"(06)235-3535
轉2270","70403
臺南市北區勝利路138號"
23,高雄市,高雄市立小港醫院,家庭醫學科,(07)803-6783,81267高雄市小港區山明路482號
24,高雄市,高雄市立聯合醫院,小兒科,(07)555-2565,80457高雄市鼓山區中華一路976號
25,屏東縣,屏東基督教醫院,家庭醫學科,(08)736-8686,90059屏東縣屏東市大連路60號
26,花蓮縣,衛生福利部花蓮醫院,家庭醫學科,(03)835-8141,97061花蓮縣花蓮市中正路600號
27,花蓮縣,花蓮慈濟醫院,家庭醫學科,(03)856-1825,97002花蓮縣花蓮市中央路三段707號
28,臺東縣,衛生福利部臺東醫院,家庭醫學科,(089)324-112,95043臺東縣臺東市五權街1號
29,金門縣,衛生福利部金門醫院,家庭醫學科,(082)332-546,89142金門縣金湖鎮復興路2號
30,連江縣,連江縣立醫院,家庭醫學科,(0836)23995,20941連江縣南竿鄉復興村217號
31,澎湖縣,三軍總醫院澎湖分院,感染科,(06)921-1116,88056澎湖縣馬公市前寮里90號
